Open,High,Low,Close,Adj Close,Volume,Date
45.9,46.95,45.7,46.0,40.745,6780000,2021-05-28
46.55,48.85,46.5,47.65,42.206,10960000,2021-05-31
47.7,48.35,47.2,48.2,42.693,5726000,2021-06-01
48.5,48.6,46.85,47.3,41.896,5968000,2021-06-02
47.05,47.55,46.6,46.8,41.453,4618000,2021-06-03
46.25,46.45,45.5,45.5,40.302,6573000,2021-06-04
45.5,46.25,44.7,45.85,40.612,5093000,2021-06-07
45.6,46.2,44.65,45.0,39.859,5092000,2021-06-08
45.0,45.6,44.7,45.0,39.859,2993000,2021-06-09
45.2,45.45,44.75,45.25,40.08,3314000,2021-06-10
45.6,45.9,44.8,45.25,40.08,4117000,2021-06-11
45.4,46.9,44.7,46.9,41.542,10940000,2021-06-15
47.0,47.45,45.9,47.45,42.029,17897000,2021-06-16
47.2,48.6,46.65,48.1,42.605,18127000,2021-06-17
47.9,48.0,46.5,46.5,41.188,10306000,2021-06-18
45.8,45.95,44.85,44.9,39.77,7832000,2021-06-21
45.5,45.6,44.55,44.6,39.505,4664000,2021-06-22
44.75,45.45,44.7,45.3,40.125,2999000,2021-06-23
45.7,45.75,45.1,45.5,40.302,2958000,2021-06-24
46.2,46.95,45.75,46.15,40.878,6033000,2021-06-25
46.0,46.45,45.75,45.95,40.7,3413000,2021-06-28
46.4,46.75,45.75,45.9,40.656,3806000,2021-06-29
45.9,46.65,45.9,46.45,41.143,3832000,2021-06-30
46.8,46.85,45.2,45.35,40.169,4507000,2021-07-01
45.7,46.5,45.3,45.8,40.568,3858000,2021-07-02
47.9,50.3,47.55,50.3,44.553,48681000,2021-07-05
50.2,50.3,47.1,47.2,41.808,34231000,2021-07-06
47.2,47.8,45.6,46.0,40.745,18523000,2021-07-07
46.0,46.5,45.25,45.5,40.302,11964000,2021-07-08
45.25,45.9,44.9,45.15,39.992,7868000,2021-07-09
45.8,46.45,45.6,46.3,41.01,8820000,2021-07-12
47.8,49.9,47.25,49.1,43.49,44631000,2021-07-13
51.1,52.7,49.55,52.1,46.148,70164000,2021-07-14
52.0,53.5,51.1,51.8,45.882,45701000,2021-07-15
49.7,51.7,49.2,50.5,44.731,22341000,2021-07-16
51.0,54.6,50.9,52.4,46.413,48839000,2021-07-19
52.4,53.3,51.6,52.5,46.502,24581000,2021-07-20
54.0,54.1,50.6,50.7,44.908,28139000,2021-07-21
